id,title,vote_average,vote_count,status,release_date,revenue,runtime,adult,backdrop_path,budget,homepage,imdb_id,original_language,original_title,overview,popularity,poster_path,tagline,genres,production_companies,production_countries,spoken_languages,keywords
651637,Rock and Cliff: The Geological Surface of Horn Town,0.0,0,Released,2019-12-02,0,47,False,,0,https://www.cathayplay.com/rock-and-cliff-the-geological-surface-of-horn-town,,zh,碛石与危岩：羊角镇的地表现实,"Video essay ‘Rock and Cliff' investigates the creation of Horn Town, a new model village and centre of large scale tourist development, and the experiences of rural residents moved there through government-led displacement. Horn Town is located in Wulong, a rural district near the Three Gorges Dam administered by the Chongqing municipality (a city of 30 million people). Narrated in the style of a science documentary but using local Chongqing dialect, the video brings a geological and topographical perspective to types of 'rocks' found in the area,from mythological stones from a mountain cliff, to ruins of the original settlement, to a stone sculpture from a dubious 'Land Art Biennial', in order to address issues of land acquisition, top-down development and spatial politic.",0.6,/hBdh02ZKxpGIPK57vpIK7v0wOXj.jpg,,Documentary,,China,Mandarin,"avant-garde, essay film"
711586,Adventício,0.0,0,Released,2020-01-01,0,0,False,,0,,,en,Adventício,Gil is not alone during social isolation. A stranger came from heaven to take care of him.,0.6,/mYKAH4SxzfGQxtwDNmHFX0Rvzaq.jpg,,,,,,
1115244,Norioka Workshop,0.0,0,Released,2022-05-27,0,30,False,,0,,tt28393437,ja,ノリオカワークショップ,"The story set in the ""house"" designed by director Ishii is an unpredictable development with tricks drawn into the unique Ishii world everywhere",0.878,/oXFtsCcFRR37zRPSUWyC0xsRQSW.jpg,,Comedy,TFC,Japan,Japanese,
994357,Churchills Verrat an Polen,0.0,0,Released,,0,52,False,,0,,tt1961233,de,Churchills Verrat an Polen,,0.6,,,,,,German,
211062,Trans-Action,4.2,2,Released,2010-01-01,0,72,False,,0,,,pl,Trans-akcja,"Trans-Action tells the story of an extraordinary woman. Anna Grodzka who in 2011 became the first transgender person in the Polish government, and the third transgender member of government in world history, was born in the male body and decided to finally begin her life as a woman only in her 50s. The film documents the most important chapters in this intimate process of transformation. We observe Anna in her daily activities in Warsaw, we witness her intimate conversations with her son and closest friends.",0.942,,,Documentary,,Poland,Polish,"transsexuality, poland, lgbt"
673030,The Private Life of Cristina Bella,0.0,0,Released,2004-12-31,0,101,True,,0,,tt0458909,en,The Private Life of Cristina Bella,"Dark hair, blue eyes, and a gorgeous body are Cristina Bella's sexual weapons and they are aimed at you! When you see her in action you'll realize how this beautiful babes turns into a sex bomb, making your balls explode with pleasure",0.6,/bqvuH5SiHJtD2DRvEaRzz1Rk4DD.jpg,,,Private,United States of America,English,
896977,Teach You a Lesson,0.0,0,Released,2000-07-01,0,15,False,,0,,tt1792811,en,Teach You a Lesson,"In this alarming early short from Gregory King a 13-year-old boy's shoplifting escapade is narrated brilliantly by actress Madeleine Sami who performs the teenage boy incarnation of the Adult Man whose account of domestic abuse this is, while adult actors play the kids in the remembered story. What starts out as teen shenanigans (a porn stash is accrued with the five-finger discount) turns unsettling as a beating is doled out by Dad as punishment. The contrast between the naive voice and what is seen on screen - shot in hand-held close ups - is something unforgettable.",0.6,,,,,,,
1131934,Czech Hunter 30,0.0,0,Released,2023-04-23,0,104,True,,0,,,de,Czech Hunter 30,"Czech Hunter presents Czech Hunter 30 including CH 543, CH 533, and CH 471.",0.0,/i5dLxTJnxHoxJXND9cfIK3ple5Z.jpg,,,Czech Hunter,Czech Republic,Czech,
780252,Penny's Picnic,0.0,0,Released,1938-12-17,0,10,False,,0,,tt0030570,en,Penny's Picnic,1938 short film starring Prudence Penny.,0.84,,,,Metro-Goldwyn-Mayer,United States of America,English,
1344054,【科普】星力摇钱树九代,0.0,0,Released,,0,0,False,,0,,,zh,【科普】星力摇钱树九代,,0.6,,,,,,,
322702,Anastacia: The Video Collection,4.0,1,Released,2002-12-02,0,90,False,,0,http://anastacia.com,,en,Anastacia: The Video Collection,"Anastacia - The Video Collection movie was released Feb 24, 2004 by the Sony Music studio. One of the most popular solo-artists in Europe, Anastacia has won numerous awards for her talents, including the Best Female Pop prize at the 2001 MTV Europe Music awards. Anastacia - The Video Collection movie Her second album, ""Freak of Nature"" has sold more than 4 million copies worldwide, and she is poised to break her homeland of America for the first time. Anastacia - The Video Collection video Collecting videos from Anastacia's first two albums, this collection includes ""I'm Outta Love,"" ""Paid My Dues,"" ""Not That Kind"" and many more!",0.781,/jweMZ2ZuNPn4sSqvzRO6xmoooFd.jpg,,Music,,,English,"dance, pop, music video, pop rock"
